ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID	FORM	ALIGNMENT
2258	Geez	to bear a child, lie in bed when giving birth to a child	ḫarasa	x a r a s a	(CDG 264)	960	xarasa	^ x a r a s a $
2259	Geez	to feed, nourish, take good care of someone by properly feeding him	ḫaraŝa, ḥarasa, ḫarrasa	x a r a ɬ a	(CDG 264)	960	xaraɬa	^ x a r a ɬ a $
2260	PS	to be deaf and dumb	*ḫrš	x r ʃ	(SED I No. 32ᵥ; HALOT 357)	961	xrʃ	^ x r ʃ $
2261	Akkadian	binden, anbinden(?)	ḫarāšu	x a r aː ʃ u	(CAD Ḫ 95, AHw. 324)	961	xaraːʃu	^ x a r aː ʃ u $
2262	Ugaritic	deaf	ḫar(r)āšu	x a r aː ʃ u	(Huehnergard 1987: 130)	961	xaraːʃu	^ x a r aː ʃ u $
2263	Hebrew	to be deaf	ḥrš	ħ r ʃ	(HALOT 357)	961	ħrʃ	^ ħ r ʃ $
2264	Syriac	to be mute, silent	ḥrš	ħ r ʃ	(LSyr. 259, SL 495)	961	ħrʃ	^ ħ r ʃ $
2265	Arabic	to be numb	ḫrs	x r s	(BK 1 557, Lane 721)	961	xrs	^ x r s $
2266	Geez	to sleep	ḥarrasa	ħ a r r a s a	(CDG 244)	961	ħarrasa	^ ħ a r r a s a $
2267	PS	to be in labour; have labour pains	*ḫyl	x y l	(SED I No. 33v)	962	xyl	^ x y l $
2268	Akkadian	to be in labour	ḫâlu	x â l u	(CAD Ḫ 55, AHw. 342)	962	xâlu	^ x â l u $
2269	Akkadian	woman in labour	ḫayyāltu	x a y y aː l t u	(CAD Ḫ 32, AHw. 309)	962	xayyaːltu	^ x a y y aː l t u $
2270	Akkadian	labour pains	ḫīlū	x iː l uː	(CAD Ḫ 189, AHw. 346)	962	xiːluː	^ x iː l uː $
2271	Ugaritic	to writhe (with birth pains)	ḫl	x l	(DUL 389)	962	xl	^ x l $
2272	Ugaritic	procreation childbirth	ḫllt	x l l t	(DUL 392)	962	xllt	^ x l l t $
2273	Hebrew	labour pains	ḥīl, ḥīlā	ħ iː l	(HALOT 312)	962	ħiːl	^ ħ iː l $
2274	Hebrew	to be in labour	ḥyl	ħ y l	(HALOT 310)	962	ħyl	^ ħ y l $
2275	Arabic	IV. avoir du lait (se dit d'une chamelle) (to have milk (said of a camel)	ḫyl	x y l	(BK 1 657)	962	xyl	^ x y l $
2276	PS	to have inflammation	*ḳdḥ	qˤ d ħ	(SED I No. 35v)	964	qˤdħ	^ qˤ d ħ $
2277	Akkadian	Entzündung	ḳidḫu	qˤ i d x u	(CAD 251, AHw. 921)	964	qˤidxu	^ qˤ i d x u $
2278	Hebrew	inflammation, fever	ḳaddaḥat	qˤ a d d a ħ a t	(HALOT 1067)	964	qˤaddaħat	^ qˤ a d d a ħ a t $
2279	Syriac	live coal	ḳdihtā	qˤ d i h t aː	(LSyr. 645, SL 1315)	964	qˤdihtaː	^ qˤ d i h t aː $
2280	Arabic	II. s’enfoncer dans l’orbite (se dit de l’oeil); amaigrir exprès (son cheval) (to sink into the orbit (said of the eye); to lose weight on purpose (of horse)	qdḥ	q d ħ	(BK 2 684, Lane 2492)	964	qdħ	^ q d ħ $
2281	Geez	to be sick, perspire, have diarrhea	ḳadḥa	qˤ a d ħ a	(CDG 420)	964	qˤadħa	^ qˤ a d ħ a $
2282	PS	to have a disease causing fall of hair	*ḳrd	qˤ r d	(SED I No. 36v)	966	qˤrd	^ qˤ r d $
2283	Akkadian	to pluck wool	ḳarādu	qˤ a r aː d u	(CAD Ḳ 126, AHw. 901)	966	qˤaraːdu	^ qˤ a r aː d u $
2284	Akkadian	with hair falling out in tufts	ḳurrudu	qˤ u r r u d u	(CAD Ḳ 319, AHw. 930)	966	qˤurrudu	^ qˤ u r r u d u $
2285	Syriac	castor bean	ḳerdā	qˤ e r d aː	(LSyr. 693, SL 1402)	966	qˤerdaː	^ qˤ e r d aː $
2286	Arabic	to fall off by degrees from the sheep and become compacted in lumps, or clotted (said of wool)	qrd	q r d	(BK 2 709, Lane 2512)	966	qrd	^ q r d $
2287	Arabic	wool sticking together and compacted in a lump	qarad-, qarid-	q a r a d	(BK 2 709, Lane 2512)	966	qarad-	^ q a r a d - $
2288	PS	to scrape, remove hair by scraping	*grd	g r d	(SED I 298 (note to No. 36))	967	grd	^ g r d $
2289	Akkadian	mit schütterem Haar?	gardu	g a r d u	(CAD G 50, AHw. 903)	967	gardu	^ g a r d u $
2290	Hebrew	(hitpa.) to scrape oneself	grd	g r d	(HALOT 202)	967	grd	^ g r d $
2291	Syriac	to scrape off; to erase; to take away	grd	g r d	(LSyr. 132, SL 257)	967	grd	^ g r d $
2292	Syriac	bald	grādā	g r aː d aː	(LSyr. 132, SL 257)	967	graːdaː	^ g r aː d aː $
2293	Arabic	to have no hair	ǯrd	d ʒ r d	(BK 1 276, Lane 405)	967	dʒrd	^ d ʒ r d $
2294	Geez	remove chaff	grd	g r d	(CDG 201)	967	grd	^ g r d $
2295	PS	to vomit	*ḳy/wˀ	qˤ y	(SED I No. 39ᵥ; Kogan 2011: 231)	970	qˤy	^ qˤ y $
2296	Akkadian	to spew, to vomit	kâˀu	k â ʔ u	(CAD K 309, G 59, AHw. 284)	970	kâʔu	^ k â ʔ u $
2297	Hebrew	to spit, be sick; (hip.) to vomit something	ḳyˀ	qˤ y ʔ	(HALOT 1096)	970	qˤyʔ	^ qˤ y ʔ $
2298	Arabic	to vomit	qyˀ	q y ʔ	(BK 2 844, Lane 2575)	970	qyʔ	^ q y ʔ $
2299	Geez	to vomit	ḳeˀa	qˤ e ʔ a	(CDG 456)	970	qˤeʔa	^ qˤ e ʔ a $
2300	PS	to have sexual desire; discharge sperm, exude vaginal secretion	*mny	m n y	(SED I No. 41ᵥ)	972	mny	^ m n y $
2301	Akkadian	to love, to become fond of so.	menû	m e n û	(CAD M₂ 19, AHw. 645)	972	menû	^ m e n û $
2302	Hebrew	type, kind	mīn	m iː n	(HALOT 577)	972	miːn	^ m iː n $
2303	Syriac	race, stock	mīnā	m iː n aː	(LSyr. 384, SL 753)	972	miːnaː	^ m iː n aː $
2304	Arabic	époque où se trouve une femelle lorsqu’elle a été couverte par le mâle(time when a female is found when she has been covered by the male)	munwat-	m u n w a t	(BK 2 1159)	972	munwat-	^ m u n w a t - $
2305	Arabic	laisser couler le sperme (dans la copulation ou autrement) (let the sperm flow (in copulation or otherwise)	mny	m n y	(BK 2 1159)	972	mny	^ m n y $
2306	Arabic	V. to wish, desire	mny	m n y	(BK 2 1159, Lane 3025)	972	mny	^ m n y $
2307	Arabic	sperme; liqueur de la femelle qui se mêle au sperme et contribue à la génération (sperm; liquor of the female which mixes with the sperm and contributes to the generation)	minā, minaⁿ	m i n aː	(BK 2 1159)	972	minaː	^ m i n aː $
2308	Arabic	sperme (du mâle); liqueur utérine de la femelle (semen (from the male); female uterine liquor)	maniyy-	m a n i y y	(BK 2 1159)	972	maniyy-	^ m a n i y y - $
2309	Geez	to wish, desire, be eager for	tamannaya	t a m a n n a y a	(CDG 352)	972	tamannaya	^ t a m a n n a y a $
2310	Geez	wish, desire, lust	tamnet	t a m n e t	(CDG 352)	972	tamnet	^ t a m n e t $
2311	PS	to bray (of donkey); cry, groan; roar	*nhḳ	n h qˤ	(SED I No. 44v)	973	nhqˤ	^ n h qˤ $
2312	Akkadian	to bray, to neigh	nagāgu	n a g aː g u	(CAD N₁ 105, AHw. 709)	973	nagaːgu	^ n a g aː g u $
2313	Akkadian	to cry, to groan	nâḳu	n â qˤ u	(CAD N₁ 341, AHw. 744)	973	nâqˤu	^ n â qˤ u $
2314	Ugaritic	braying	nhḳt	n h qˤ t	(DUL 626)	973	nhqˤt	^ n h qˤ t $
2315	Hebrew	to sob	nhg	n h g	(HALOT 675)	973	nhg	^ n h g $
2316	Hebrew	to bray	nhḳ	n h qˤ	(HALOT 676)	973	nhqˤ	^ n h qˤ $
2317	Arabic	to moan	nˀǯ	n ʔ d ʒ	(BK 2 1176, Lane 2751)	973	nʔdʒ	^ n ʔ d ʒ $
2318	Arabic	braire (se dit de l’âne) (bray (of donkey)	nhq	n h q	(BK 2 1357)	973	nhq	^ n h q $
2319	Arabic	coasser sans cesse (to croak incessantly)	nqnq	n q n q	(BK 2 1334)	973	nqnq	^ n q n q $
2320	Arabic	coasser, miauler; glousser (to croak, meow; squawk)	nqq	n q q	(BK 2 1318)	973	nqq	^ n q q $
2321	Geez	to groan, sigh	nǝhka, nahaka, nǝḥka	n ə h k a	(CDG 393)	973	nǝhka	^ n ǝ h k a $
2322	Geez	to bray	nǝhḳa	n ə h qˤ a	(CDG 394)	973	nǝhqˤa	^ n ǝ h qˤ a $
2323	Geez	to emit a sound (referring to any sound of animals and birds); scream, shout	naḳawa	n a qˤ a w a	(CDG 401)	973	naqˤawa	^ n a qˤ a w a $
2324	PS	plumage, feathers	*nāṣiy-at-	n aː sˤ i y a t	(SED I No. 202; Kogan 2011: 226)	975	naːsˤiy-at-	^ n aː sˤ i y - a t - $
2325	Akkadian	plumage, feathers	nāṣu	n aː sˤ u	(CAD N₂ 53, AHw. 758)	975	naːsˤu	^ n aː sˤ u $
2326	Hebrew	feathers	nōṣā	n oː sˤ aː	(HALOT 682)	975	noːsˤaː	^ n oː sˤ aː $
2327	Arabic	forelock	nāṣiyat-	n aː sˤ i y a t	(Lane 2799)	975	naːsˤiyat-	^ n aː sˤ i y a t - $
2328	PS	tear(-drop)	*dVmˁ-at-	d m ʕ a t	(SED I No. 51; Kogan 2011: 226)	976	d-mʕ-at-	^ d - m ʕ - a t - $
2329	Akkadian	tear	dīmtu	d iː m t u	(CAD D 147, AHw. 171)	976	diːmtu	^ d iː m t u $
2330	Ugaritic	tear	dmˁ	d m ʕ	(DLU 133)	976	dmʕ	^ d m ʕ $
2331	Hebrew	tear	dimˁā	d i m ʕ aː	(HALOT 227)	976	dimʕaː	^ d i m ʕ aː $
2332	Syriac	tear	demˁtā	d e m ʕ t aː	(LSyr. 158, SL 311)	976	demʕtaː	^ d e m ʕ t aː $
2333	Arabic	tear	damˁ-	d a m ʕ	(BK 1 732, Lane 913)	976	damʕ-	^ d a m ʕ - $
2334	PS	to gush forth	*nbˁ	n b ʕ	(Kogan 2011: 226)	977	nbʕ	^ n b ʕ $
2335	Geez	tear	ˀanbəˁ	ʔ a n b ə ʕ	(CDG 382)	977	ʔanbəʕ	^ ʔ a n b ə ʕ $
2336	PS	sweat	*ḏVˁ-at-	ð ʕ a t	(SED I No. 61; Kogan 2011: 226)	978	ð-ʕ-at-	^ ð - ʕ - a t - $
2337	Akkadian	sweat	zuˀutu	z u ʔ u t u	(CAD Z 168, AHw. 1539)	978	zuʔutu	^ z u ʔ u t u $
2338	Ugaritic	sweat	dˁt	d ʕ t	(DLU 127)	978	dʕt	^ d ʕ t $
2339	Hebrew	sweat	daˁat	d a ʕ a t	(HALOT 229)	978	daʕat	^ d a ʕ a t $
2340	Hebrew	sweat	zēˁā	z eː ʕ aː	(HALOT 276)	978	zeːʕaː	^ z eː ʕ aː $
2341	Syriac	sweat	duˁtā	d u ʕ t aː	(LSyr. 161, SL 285)	978	duʕtaː	^ d u ʕ t aː $
2342	PS	venom, bile	*ḥim-at-	ħ i m a t	(SED I No. 120)	980	ħim-at-	^ ħ i m - a t - $
2343	Akkadian	poisonous foam; spittle	imtu	i m t u	(CAD I 139, AHw. 379)	980	imtu	^ i m t u $
2344	Ugaritic	veneno (venom)	ḥmt	ħ m t	(DLU 178)	980	ħmt	^ ħ m t $
2345	Hebrew	poison, venom	ḥēmā	ħ eː m aː	(HALOT 326)	980	ħeːmaː	^ ħ eː m aː $
2346	Syriac	heat, ardor; poison	ḥemtā	ħ e m t aː	(LSyr. 242, SL 469)	980	ħemtaː	^ ħ e m t aː $
2347	Arabic	scorpion’s venom	ḥumat-	ħ u m a t	(BK 1 498)	980	ħumat-	^ ħ u m a t - $
2348	Geez	bile, gall, venom	ḥamot	ħ a m o t	(CDG 235)	980	ħamot	^ ħ a m o t $
2349	PS	foam; saliva; excretion	*ruγw-at-	r u ɣ w a t	(SED I No. 229; Kogan 2011: 226)	981	ruɣw-at-	^ r u ɣ w - a t - $
2350	Akkadian	spittle, slaver, saliva, phlegm, mucus; sap	ruˀtu	r u ʔ t u	(CAD R 435, AHw. 997)	981	ruʔtu	^ r u ʔ t u $
2351	Hebrew	secretion, excrements	rəˁī, rēˁī	r ə ʕ iː	(Jastrow 1487)	981	rəʕiː	^ r ə ʕ iː $
2352	Syriac	foam	ruˁtā	r u ʕ t aː	(LSyr. 722, SL 1452)	981	ruʕtaː	^ r u ʕ t aː $
2353	Arabic	froth of milk	raγwat-, ruγwat-	r a ɣ w a t	(BK 1 891; Lane 1115)	981	raɣwat-	^ r a ɣ w a t - $
2354	PS	to urinate	*ṯyn	θ y n	(SED I No. 77ᵥ)	984	θyn	^ θ y n $
2355	Akkadian	to urinate	šânu	ʃ â n u	(CAD Š₁ 409, AHw. 1225)	984	ʃânu	^ ʃ â n u $
2356	Akkadian	to urinate	šatānu	ʃ a t aː n u	(CAD Š₂ 192, AHw. 1199)	984	ʃataːnu	^ ʃ a t aː n u $
2357	Akkadian	urine	šīnātu	ʃ iː n aː t u	(CAD Š₃ 40, AHw. 1241)	984	ʃiːnaːtu	^ ʃ iː n aː t u $
2358	Ugaritic	to urinate	yṯtn	y θ t n	(WUS 339)	984	yθtn	^ y θ t n $
2359	Hebrew	urine	šēnēhäm	ʃ eː n eː h æ m	(HALOT 1479)	984	ʃeːneːhæm	^ ʃ eː n eː h æ m $
2360	Hebrew	(hip. part.) to pass water, urinate	maštīn	m a ʃ t iː n	(HALOT 1479)	984	maʃtiːn	^ m a ʃ t iː n $
2361	Syriac	to urinate	twn	t w n	(LSyr. 819, SL 1631)	984	twn	^ t w n $
2362	Syriac	urina	tīnā, tūnā, tyānā	t iː n aː	(LSyr. 819, SL 1642)	984	tiːnaː	^ t iː n aː $
2363	Arabic	bladder	maṯānat-	m a θ aː n a t	(BK 2 1062)	984	maθaːnat-	^ m a θ aː n a t - $
2364	Geez	to urinate	ŝena	ɬ e n a	(CDG 540)	984	ɬena	^ ɬ e n a $
2365	Geez	urine	ŝənt	ɬ ə n t	(CDG 540)	984	ɬənt	^ ɬ ə n t $
2366	Geez	bladder	maŝyant	m a ɬ y a n t	(CDG 540)	984	maɬyant	^ m a ɬ y a n t $
2367	PS	non-digested food in the stomach	*parṯ-	p a r θ	(SED I No. 221; Kogan 2011: 227)	985	parθ-	^ p a r θ - $
2368	Akkadian	excrement, gore	paršu	p a r ʃ u	(CAD P 205, AHw. 836)	985	parʃu	^ p a r ʃ u $
2369	Hebrew	contents of the gut, faeces	päräš	p æ r æ ʃ	(HALOT 977)	985	pæræʃ	^ p æ r æ ʃ $
2370	Syriac	dung, excrement; mud, mire	pertā	p e r t aː	(LSyr. 609, SL 1255)	985	pertaː	^ p e r t aː $
2371	Arabic	feces	farṯ-	f a r θ	(BK 2 561, Lane 2359)	985	farθ-	^ f a r θ - $
2372	PS	(dry cow's) dung	*kVbVw-	k b w	(SED I No. 142; Kogan 2011: 227)	986	k-b-w-	^ k - b - w - $
2373	Akkadian	excrement, dung (of animals)	kabû	k a b û	(CAD K 28, AHw. 418)	986	kabû	^ k a b û $
2374	Syriac	dung, excrement	kəbōtā	k ə b oː t aː	(LSyr. 315, SL 595)	986	kəboːtaː	^ k ə b oː t aː $
2375	Arabic	ordures ôtées de la maison et jetées en un tas (garbage removed from the house and thrown in a heap)	kiban,  kibat-	k i b a n	(BK 2 857)	986	kiban	^ k i b a n $
2376	Arabic	sweepings, manure	kibat-, kubat-	k i b a t	(WKAS I 35)	986	kibat-	^ k i b a t - $
2377	Geez	dry cow's dung	kəbo	k ə b o	(CDG 272)	986	kəbo	^ k ə b o $
2378	PS	dung	*zibl-	z i b l	(SED I No. 294; Kogan 2011: 227)	987	zibl-	^ z i b l - $
2379	Akkadian	waste matter, refuse, debris	ziblu	z i b l u	(CAD Z 103, AHw. 1524)	987	ziblu	^ z i b l u $
2380	Hebrew	foliage piled up for forming manure, deposits	zäbäl	z æ b æ l	(Jastrow 379)	987	zæbæl	^ z æ b æ l $
2381	Syriac	dung	zeblā	z e b l aː	(LSyr. 187, SL 363)	987	zeblaː	^ z e b l aː $
2382	Arabic	dung	zibl-	z i b l	(BK 1 971, Lane 1212)	987	zibl-	^ z i b l - $
2383	Geez	dung	zəbl	z ə b l	(CDG 631)	987	zəbl	^ z ə b l $
2384	Geez	to defecate, have diarrhea, spread manure	zabala	z a b a l a	(CDG 631)	987	zabala	^ z a b a l a $
2385	PS	to have sexual intercourse	*nyk	n y k	(SED I No. 53ᵥ)	995	nyk	^ n y k $
2386	Akkadian	to have illicit sexual intercourse, to fornicate	nâku	n â k u	(CAD N₁ 197, AHw. 784)	995	nâku	^ n â k u $
2387	Arabic	to marry a woman	nyk	n y k	(BK 2 1376, Lane 3040)	995	nyk	^ n y k $
2388	PS	to sleep, slumber	*nwm	n w m	(SED I No. 52ᵥ)	1000	nwm	^ n w m $
2389	Akkadian	waking time	munattu	m u n a t t u	(CAD M₂ 200, AHw. 672)	1000	munattu	^ m u n a t t u $
2390	Akkadian	it (the forest) was still	nu-ma-at	n u m a a t	(AHw. 729; cf. George 2003: 209)	1000	nu-ma-at	^ n u - m a - a t $
2391	Ugaritic	sleep of death; drowsiness	nhmmt	n h m m t	(DUL 626)	1000	nhmmt	^ n h m m t $
2392	Hebrew	to fall asleep, to slumber	nwm	n w m	(HALOT 680)	1000	nwm	^ n w m $
2393	Syriac	to sleep, fall asleep	nwm	n w m	(LSyr. 420, SL 899)	1000	nwm	^ n w m $
2394	Arabic	dormir (to sleep)	nwm	n w m	(BK 2 1372)	1000	nwm	^ n w m $
2395	Geez	to sleep	noma	n o m a	(CDG 409)	1000	noma	^ n o m a $
2396	PS	to sleep	*wšn	w ʃ n	(SED I No. 82ᵥ)	1001	wʃn	^ w ʃ n $
2397	Ugaritic	to sleep	yšn	y ʃ n	(DUL 988)	1001	yʃn	^ y ʃ n $
2398	Hebrew	to sleep	yšn	y ʃ n	(HALOT 447)	1001	yʃn	^ y ʃ n $
2399	Arabic	être endormi d’un profond sommeil; être dans son premier somme; sommeiller (to sleep deeply; to slumber)	wsn	w s n	(BK 2 1538)	1001	wsn	^ w s n $
2400	PS	eruption (on the skin), white spot	*lam(a)ṯ̣-	l a m θˤ	(SED I No. 179)	1002	lamθˤ-	^ l a m θˤ - $
2401	Akkadian	a skin eruption	lamṣatu	l a m sˤ a t u	(CAD L 68, AHw. 533)	1002	lamsˤatu	^ l a m sˤ a t u $
2402	Arabic	a whiteness in the lower lip of a horse	lamaḏ̣-, lumḏ̣at-	l a m a ðˤ	(BK 2 1026, Lane 2674)	1002	lamaðˤ-	^ l a m a ðˤ - $
2403	Geez	leprosy, scab	lamṣ	l a m sˤ	(CDG 316)	1002	lamsˤ	^ l a m sˤ $
2404	PS	blister, boil	*bVˁbVˁ-	b ʕ b ʕ	(SED I No. 30; Kogan 2011: 230)	1003	b-ʕb-ʕ-	^ b - ʕ b - ʕ - $
2405	Akkadian	boil, pustule	būbuˀtu, buˀbuˀtu, būbūtu, būbuttu	b uː b u ʔ t u	(CAD B 300, AHw. 135, 1549)	1003	buːbuʔtu	^ b uː b u ʔ t u $
2406	Hebrew	blisters, ulcers	ˀăbaˁbūˁōt	ʔ ă b a ʕ b uː ʕ oː t	(HALOT 9)	1003	ʔăbaʕbuːʕoːt	^ ʔ ă b a ʕ b uː ʕ oː t $
2407	Syriac	flute	ˀabbūbā	ʔ a b b uː b aː	(LSyr. 1, SL 3)	1003	ʔabbuːbaː	^ ʔ a b b uː b aː $
2408	Syriac	swellings	baˁbuˁyātā	b a ʕ b u ʕ y aː t aː	(LSyr. 82, SL 168)	1003	baʕbuʕyaːtaː	^ b a ʕ b u ʕ y aː t aː $
2409	Geez	ulcers resulting from elephantiasis, pustules	ˀanṗāˁānṗe	ʔ a n p aː ʕ aː n p e	(CDG 30)	1003	ʔanpaːʕaːnpe	^ ʔ a n p aː ʕ aː n p e $
2410	PS	sores, scabies, leprosy	*ˁabaḳ-	ʕ a b a qˤ	(SED I No. 18; Kogan 2011: 230)	1004	ʕabaqˤ-	^ ʕ a b a qˤ - $
2411	Akkadian	leprosy	epḳu	e p qˤ u	(CAD E 246, AHw. 230)	1004	epqˤu	^ e p qˤ u $
2412	Akkadian	a skin disease	epḳennu	e p qˤ e n n u	(CAD E 246, AHw. 230)	1004	epqˤennu	^ e p qˤ e n n u $
2413	Arabic	scar caused by a wound in the ball, or most elevated part, of the cheek	ˁabāqiyat-	ʕ a b aː q i y a t	(Lane 1940)	1004	ʕabaːqiyat-	^ ʕ a b aː q i y a t - $
2414	Geez	scabies, itch, sores, skin rash, leprosy	ˁabaḳ	ʕ a b a qˤ	(CDG 54)	1004	ʕabaqˤ	^ ʕ a b a qˤ $
2415	PS	leprosy, mange, scab	*garab-	g a r a b	(SED I No. 91; Kogan 2011: 230)	1005	garab-	^ g a r a b - $
2416	Akkadian	leprosy	garabu	g a r a b u	(CAD G 46, AHw. 281)	1005	garabu	^ g a r a b u $
2417	Hebrew	festering rash	gārāb	g aː r aː b	(HALOT 201)	1005	gaːraːb	^ g aː r aː b $
2418	Syriac	leprosy; scabies	garbā	g a r b aː	(LSyr. 130, SL 255)	1005	garbaː	^ g a r b aː $
2419	Arabic	scab; rust	ǯarab-	d ʒ a r a b	(BK 1 273, Lane 403)	1005	dʒarab-	^ d ʒ a r a b - $
2420	PS	(kind of) skin disease	*ṣVrnVˁ-at-	sˤ r n ʕ a t	(SED I No. 257; Kogan 2011: 230)	1006	sˤ-rn-ʕ-at-	^ sˤ - r n - ʕ - a t - $
2421	Akkadian	a skin disease	ṣernettu	sˤ e r n e t t u	(CAD Ṣ 127, AHw. 1090)	1006	sˤernettu	^ sˤ e r n e t t u $
2422	Hebrew	skin disease (not leprosy)	ṣāraˁat	sˤ aː r a ʕ a t	(HALOT 1057)	1006	sˤaːraʕat	^ sˤ aː r a ʕ a t $
2423	Arabic	small swelling, pustule	ṣamγat-	sˤ a m ɣ a t	(BK 1 1372, Lane 1729)	1006	sˤamɣat-	^ sˤ a m ɣ a t - $
2424	Arabic	sorte d'excroissance hideuse à voir sur les lèvres, sur le nez ou sur les oreilles (a kind of ugly growth seen on the lips, nose, or ears)	ṣimγat-	sˤ i m ɣ a t	(BK 1 1372)	1006	sˤimɣat-	^ sˤ i m ɣ a t - $
2425	Geez	scab, malignant ulcer	ṣərnəˁt	sˤ ə r n ə ʕ t	(CDG 564)	1006	sˤərnəʕt	^ sˤ ə r n ə ʕ t $
2426	PS	mole; pustule	*ḥ/ḫalaˀ-	ħ	(SED I No. 116)	1007	ħ	^ ħ $
2427	Akkadian	black mole (on the face and body); black spot (a disease of barley)	ḫalû	x a l û	(CAD Ḫ 53, AHw. 314)	1007	xalû	^ x a l û $
2428	Arabic	pustules breaking out upon the lips after a fever	ḥalaˀ-	ħ a l a ʔ	(BK 1 476, Lane 622)	1007	ħalaʔ-	^ ħ a l a ʔ - $
2429	PS	birth-mark, scar on the skin	*ḥumṣ-at-	ħ u m sˤ a t	(SED I No. 121; Kogan 2011: 230)	1008	ħumsˤ-at-	^ ħ u m sˤ - a t - $
2430	Akkadian	a mole or wart	umṣatu	u m sˤ a t u	(CAD U–W 135, AHw. 1418)	1008	umsˤatu	^ u m sˤ a t u $
2431	Arabic	cautère, ulcère artificiel (cautery, artificial ulcer)	ḥummaṣat-	ħ u m m a sˤ a t	(Dozy I 322)	1008	ħummasˤat-	^ ħ u m m a sˤ a t - $
2432	PS	spot on the skin, bruise, mark of violence	*ḥVbVr-	ħ b r	(SED I No. 111; Kogan 2011: 230)	1009	ħ-b-r-	^ ħ - b - r - $
2433	Akkadian	a mark of discoloration on the skin	ibāru	i b aː r u	(CAD I 1, AHw. 363)	1009	ibaːru	^ i b aː r u $
2434	Hebrew	wound, slash	ḥabbūrā	ħ a b b uː r aː	(HALOT 285)	1009	ħabbuːraː	^ ħ a b b uː r aː $
2435	Hebrew	skin specks	ḥăbarbūrōt	ħ ă b a r b uː r oː t	(HALOT 285)	1009	ħăbarbuːroːt	^ ħ ă b a r b uː r oː t $
2436	Syriac	wound	ḥbārtā	ħ b aː r t aː	(LSyr. 212, SL 410)	1009	ħbaːrtaː	^ ħ b aː r t aː $
2437	Arabic	mark of beating; a healed wound	ḥibr-	ħ i b r	(Lane 499)	1009	ħibr-	^ ħ i b r - $
2438	Geez	eruption on the skin	ḥəbərbəre	ħ ə b ə r b ə r e	(CDG 224)	1009	ħəbərbəre	^ ħ ə b ə r b ə r e $
2439	PS	scabies, itch, boil	*ḫVŝp-	x ɬ p	(SED I No. 138; Kogan 2011: 230)	1010	x-ɬp-	^ x - ɬ p - $
2440	Arabic	être rongé par la gâle (to be eaten up by the scab)	ḫšf	x ʃ f	(BK 1 576)	1010	xʃf	^ x ʃ f $
2441	Geez	itch, a boil	ḫəŝaf	x ə ɬ a f	(CDG 266)	1010	xəɬaf	^ x ə ɬ a f $
2442	PS	(kind of) skin disease	*bVhVḳ-	b h qˤ	(SED I No. 33; Kogan 2011: 230)	1011	b-h-qˤ-	^ b - h - qˤ - $
2443	Hebrew	skin rash	bōhaḳ	b oː h a qˤ	(HALOT 112)	1011	boːhaqˤ	^ b oː h a qˤ $
2444	Hebrew	white scurf	bōhaḳ	b oː h a qˤ	(Jastrow 143)	1011	boːhaqˤ	^ b oː h a qˤ $
2445	Hebrew	one having an eruption resembling leprosy	băhăḳān	b ă h ă qˤ aː n	(Jastrow 143)	1011	băhăqˤaːn	^ b ă h ă qˤ aː n $
2446	Syriac	pimples, pustules	behḳītā	b e h qˤ iː t aː	(LSyr. 61, SL 122)	1011	behqˤiːtaː	^ b e h qˤ iː t aː $
2447	Arabic	mild species of leprosy	bahaq-	b a h a q	(BK 1 172, Lane 267)	1011	bahaq-	^ b a h a q - $
2448	PS	grey hair	*ŝayb-at-, ŝīb-at-	ɬ a y b a t	(SED I No. 66ᵥ; Kogan 2011: 230)	1012	ɬayb-at-	^ ɬ a y b - a t - $
2449	Akkadian	grey hair	šībtu	ʃ iː b t u	(CAD Š₂ 386, AHw. 1228)	1012	ʃiːbtu	^ ʃ iː b t u $
2450	Ugaritic	graues Haar	šbt	ʃ b t	(WUS 300)	1012	ʃbt	^ ʃ b t $
2451	Hebrew	the grey hair; advanced age	ŝēbā	ɬ eː b aː	(HALOT 1318)	1012	ɬeːbaː	^ ɬ eː b aː $
2452	Syriac	white hair	saybātā	s a y b aː t aː	(LSyr. 469, SL 999)	1012	saybaːtaː	^ s a y b aː t aː $
2453	Arabic	whiteness of the hair	šayb-	ʃ a y b	(BK 1 1294, Lane 1627)	1012	ʃayb-	^ ʃ a y b - $
2454	Geez	grey hair	ŝibat	ɬ i b a t	(CDG 539)	1012	ɬibat	^ ɬ i b a t $
2455	PS	to be deaf and dumb	*ṭmm, ˀṭm	tˤ m m	(SED I No. 75ᵥ; Kogan 2011: 230)	1018	tˤmm	^ tˤ m m $
2456	Akkadian	deaf person	ṭummumu	tˤ u m m u m u	(CAD Ṭ 125, AHw. 1394)	1018	tˤummumu	^ tˤ u m m u m u $
2457	Hebrew	to stop one’s ears	ˀṭm	ʔ tˤ m	(HALOT 37)	1018	ʔtˤm	^ ʔ tˤ m $
2458	Syriac	deaf	ˀaṭṭīmā	ʔ a tˤ tˤ iː m aː	(LSyr. 14, SL 31)	1018	ʔatˤtˤiːmaː	^ ʔ a tˤ tˤ iː m aː $
2459	Syriac	firm; solid; mute	ṭmīmā	tˤ m iː m aː	(LSyr. 14, SL 536)	1018	tˤmiːmaː	^ tˤ m iː m aː $
